layout_id,node_id,node_role,space_type,floor_id,physical_floor,component_id,community_id,degree,degree_cent,betweenness,closeness,clustering
BB_03,0,room,Bath,0,0,2,1,3,0.021429,0.020539,0.07904,0.666667
BB_03,1,room,Bath,2,1,1,6,3,0.021429,0.019082,0.082143,0.666667
BB_03,2,room,Hall,0,0,2,1,4,0.028571,0.023653,0.079913,0.5
BB_03,3,room,Bedroom1,2,1,1,6,2,0.014286,0.0,0.067474,1.0
BB_03,4,room,Hall,2,1,1,6,6,0.042857,0.065894,0.083968,0.333333
BB_03,5,room,Bath,4,2,0,0,3,0.021429,0.019272,0.08261,0.666667
BB_03,6,room,Kitchen,0,0,2,1,2,0.014286,0.0,0.064573,1.0
BB_03,7,room,Living,0,0,2,1,4,0.028571,0.006061,0.079913,0.5
BB_03,8,room,Kitchen,2,1,1,6,4,0.028571,0.010821,0.083046,0.666667
BB_03,9,room,Hall,4,2,0,0,5,0.035714,0.037568,0.083929,0.4
BB_03,10,room,Bedroom,4,2,0,0,2,0.014286,0.0,0.067719,1.0
BB_03,11,room,Bedroom2,2,1,1,6,5,0.035714,0.003221,0.069332,0.5
BB_03,12,room,Living,2,1,1,6,3,0.021429,0.001208,0.068701,0.666667
BB_03,13,room,Kitchen,4,2,0,0,4,0.028571,0.01475,0.083485,0.5
BB_03,14,room,Living,4,2,0,0,3,0.021429,0.002621,0.069509,0.333333
BB_03,15,room,Bath,0,0,2,1,4,0.028571,0.003485,0.079913,0.666667
BB_03,16,room,Hall,2,1,1,6,4,0.028571,0.054147,0.094464,0.5
BB_03,17,room,Bath,2,1,1,6,5,0.035714,0.019452,0.083046,0.5
BB_03,18,room,Hall,0,0,2,1,5,0.035714,0.049847,0.09272,0.4
BB_03,19,room,Living,2,1,1,6,4,0.028571,0.154544,0.11808,0.5
BB_03,20,room,Hall,4,2,0,0,6,0.042857,0.063574,0.098616,0.333333
BB_03,21,room,Bath,4,2,0,0,4,0.028571,0.004012,0.083929,0.5
BB_03,22,room,Bedroom,0,0,2,1,3,0.021429,0.000539,0.074176,0.666667
BB_03,23,room,Kitchen,0,0,2,1,4,0.028571,0.007774,0.09907,0.666667
BB_03,24,room,Kitchen,2,1,1,6,4,0.028571,0.012794,0.076722,0.5
BB_03,25,room,Bedroom1,4,2,0,0,3,0.021429,0.011358,0.078893,0.333333
BB_03,26,room,Kitchen,4,2,0,0,4,0.028571,0.005444,0.102458,0.666667
BB_03,27,room,Living,0,0,2,1,4,0.028571,0.079804,0.113892,0.5
BB_03,28,room,Bedroom2,4,2,0,0,4,0.028571,0.004288,0.099864,0.666667
