layout_id,layout_family,variation_name,room_id,room_type,apartment_id,floor_id,zone_type,object_name,centroid_x,centroid_y,centroid_z,area,volume,width,depth,height,is_closed,has_door_geometry,has_window_geometry
BB_02,two_bars,long_spine,BB_02_F00_0_Bath_01,Bath,0,0,service,BB_02_F00_0_Bath_01,1.092424,4.175000,5.400000,27.873030,9.424000,1.784848,1.650000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_0_Bedroom_01,Bedroom1,0,0,private,BB_02_F00_0_Bedroom_01,1.092424,1.675000,5.400000,40.833636,16.848970,1.784848,2.950000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_0_Hall_01,Hall,0,0,circulation,BB_02_F00_0_Hall_01,2.606061,2.600000,5.400000,44.198788,12.939636,0.842424,4.800000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_0_Kitchen_01,Kitchen,0,0,private,BB_02_F00_0_Kitchen_01,4.430303,4.630000,5.400000,23.695758,5.697552,2.406061,0.740000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_0_Bedroom_02,Bedroom2,0,0,private,BB_02_F00_0_Bedroom_02,4.430303,3.120000,5.400000,36.477576,14.474861,2.406061,1.880000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_0_Living_01,Living,0,0,private,BB_02_F00_0_Living_01,4.430303,1.090000,5.400000,35.356364,13.704921,2.406061,1.780000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_1_Bath_01,Bath,1,0,service,BB_02_F00_1_Bath_01,0.846296,7.964286,5.400000,25.601164,7.977143,1.292593,1.928571,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_1_Kitchen_01,Kitchen,1,0,private,BB_02_F00_1_Kitchen_01,0.846296,10.464286,5.400000,32.275873,11.049820,1.292593,2.671429,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_1_Hall_01,Hall,1,0,circulation,BB_02_F00_1_Hall_01,2.070370,9.400000,5.400000,42.808889,11.605333,0.755556,4.800000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_1_Living_01,Living,1,0,private,BB_02_F00_1_Living_01,4.140741,9.400000,5.400000,78.482963,45.852444,2.985185,4.800000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_2_Bath_01,Bath,2,0,service,BB_02_F00_2_Bath_01,6.529630,4.035714,5.400000,26.626878,8.594286,1.392593,1.928571,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_2_Kitchen_01,Kitchen,2,0,private,BB_02_F00_2_Kitchen_01,6.529630,1.535714,5.400000,33.450159,11.904677,1.392593,2.671429,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_2_Hall_01,Hall,2,0,circulation,BB_02_F00_2_Hall_01,7.803704,2.600000,5.400000,42.808889,11.605333,0.755556,4.800000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_2_Living_01,Living,2,0,private,BB_02_F00_2_Living_01,9.874074,2.600000,5.400000,78.482963,45.852444,2.985185,4.800000,3.200000,true,unknown,unknown
BB_02,two_bars,long_spine,BB_02_F00_3_Bath_01,Bath,3,0,service,BB_02_F00_3_Bath_01,6.775758,7.825000,5.400000,28.843030,9.952000,1.884848,1.650000,3.200000,true,unknown,unknown
