layout_id,src_id,dst_id,edge_type,contact_axis,gap_m,shared_span_m,physical_floor
BB_01,0,3,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,0,4,bbox_spatial_adjacency,y,0.2,1.7364,0
BB_01,0,163,bbox_spatial_adjacency,y,0.2,1.7364,0
BB_01,1,2,bbox_spatial_adjacency,x,0.2,1.9286,1
BB_01,1,5,bbox_spatial_adjacency,x,0.2,2.6714,1
BB_01,1,6,bbox_spatial_adjacency,x,0.2,4.8,1
BB_01,1,165,bbox_spatial_adjacency,y,0.2,0.7333,1
BB_01,2,5,bbox_spatial_adjacency,y,0.2,1.2556,1
BB_01,2,165,bbox_spatial_adjacency,y,0.2,1.2556,1
BB_01,3,4,bbox_spatial_adjacency,x,0.2,2.95,0
BB_01,3,7,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,3,8,bbox_spatial_adjacency,x,0.2,2.95,0
BB_01,3,163,bbox_spatial_adjacency,y,0.2,0.8182,0
BB_01,6,21,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,6,23,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,6,165,bbox_spatial_adjacency,y,0.2,2.9111,1
BB_01,7,8,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,7,20,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,7,163,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,8,22,bbox_spatial_adjacency,x,0.2,2.95,0
BB_01,9,11,bbox_spatial_adjacency,y,0.2,1.7364,0
BB_01,9,13,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,9,163,bbox_spatial_adjacency,y,0.2,1.7364,0
BB_01,10,12,bbox_spatial_adjacency,y,0.2,1.7364,1
BB_01,10,14,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,10,165,bbox_spatial_adjacency,y,0.2,1.7364,1
BB_01,11,13,bbox_spatial_adjacency,x,0.2,2.95,0
BB_01,12,14,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,13,15,bbox_spatial_adjacency,x,0.2,0.74,0
BB_01,13,17,bbox_spatial_adjacency,x,0.2,1.88,0
BB_01,13,19,bbox_spatial_adjacency,x,0.2,1.78,0
BB_01,13,163,bbox_spatial_adjacency,y,0.2,0.8182,0
BB_01,14,16,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,14,18,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,14,165,bbox_spatial_adjacency,y,0.2,0.8182,1
BB_01,15,17,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,15,31,bbox_spatial_adjacency,x,0.2,0.74,0
BB_01,15,163,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,16,18,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,16,32,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,16,165,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,17,19,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,17,31,bbox_spatial_adjacency,x,0.2,0.9886,0
BB_01,17,37,bbox_spatial_adjacency,x,0.2,0.6914,0
BB_01,18,35,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,19,37,bbox_spatial_adjacency,x,0.2,1.78,0
BB_01,20,22,bbox_spatial_adjacency,y,0.2,1.8364,0
BB_01,20,24,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,20,163,bbox_spatial_adjacency,y,0.2,1.8364,0
BB_01,21,23,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,21,25,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,21,165,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,22,24,bbox_spatial_adjacency,x,0.2,2.95,0
BB_01,23,25,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,24,26,bbox_spatial_adjacency,x,0.2,0.74,0
BB_01,24,28,bbox_spatial_adjacency,x,0.2,1.88,0
BB_01,24,30,bbox_spatial_adjacency,x,0.2,1.78,0
BB_01,24,163,bbox_spatial_adjacency,y,0.2,0.8182,0
BB_01,25,27,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,25,29,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,25,165,bbox_spatial_adjacency,y,0.2,0.8182,1
BB_01,26,28,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,26,161,bbox_spatial_adjacency,x,0.1,0.74,0
BB_01,26,163,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,27,29,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,27,162,bbox_spatial_adjacency,x,0.1,1.65,1
BB_01,27,165,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,28,30,bbox_spatial_adjacency,y,0.2,2.3455,0
BB_01,28,161,bbox_spatial_adjacency,x,0.1,1.88,0
BB_01,29,162,bbox_spatial_adjacency,x,0.1,2.95,1
BB_01,30,161,bbox_spatial_adjacency,x,0.1,1.78,0
BB_01,31,33,bbox_spatial_adjacency,x,0.2,1.9286,0
BB_01,31,37,bbox_spatial_adjacency,y,0.2,1.3556,0
BB_01,31,163,bbox_spatial_adjacency,y,0.2,1.3556,0
BB_01,32,34,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,32,35,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,32,165,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,33,36,bbox_spatial_adjacency,x,0.2,4.8,0
BB_01,33,37,bbox_spatial_adjacency,x,0.2,2.6714,0
BB_01,33,163,bbox_spatial_adjacency,y,0.2,0.7333,0
BB_01,34,35,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,34,38,bbox_spatial_adjacency,x,0.2,0.74,1
BB_01,34,39,bbox_spatial_adjacency,x,0.2,1.88,1
BB_01,34,40,bbox_spatial_adjacency,x,0.2,1.78,1
BB_01,34,165,bbox_spatial_adjacency,y,0.2,0.8182,1
BB_01,36,161,bbox_spatial_adjacency,x,0.1,4.8,0
BB_01,36,163,bbox_spatial_adjacency,y,0.2,2.9111,0
BB_01,36,173,bbox_spatial_adjacency,y,0.2,2.6,0
BB_01,38,39,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,38,162,bbox_spatial_adjacency,x,0.1,0.74,1
BB_01,38,165,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,39,40,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,39,162,bbox_spatial_adjacency,x,0.1,1.88,1
BB_01,40,162,bbox_spatial_adjacency,x,0.1,1.78,1
BB_01,40,174,bbox_spatial_adjacency,y,0.2,2.3455,1
BB_01,41,44,bbox_spatial_adjacency,y,0.2,1.3556,0
BB_01,41,45,bbox_spatial_adjacency,x,0.2,1.9286,0
BB_01,41,161,bbox_spatial_adjacency,x,0.1,1.9286,0
BB_01,41,164,bbox_spatial_adjacency,y,0.2,1.3556,0
BB_01,42,43,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,42,46,bbox_spatial_adjacency,x,0.2,2.95,1
BB_01,42,162,bbox_spatial_adjacency,x,0.1,2.95,1
BB_01,43,46,bbox_spatial_adjacency,x,0.2,1.65,1
BB_01,43,162,bbox_spatial_adjacency,x,0.1,1.65,1
BB_01,43,166,bbox_spatial_adjacency,y,0.2,1.8364,1
BB_01,44,45,bbox_spatial_adjacency,x,0.2,2.6714,0
BB_01,44,161,bbox_spatial_adjacency,x,0.1,2.6714,0
BB_01,45,47,bbox_spatial_adjacency,x,0.2,4.8,0
BB_01,45,164,bbox_spatial_adjacency,y,0.2,0.7333,0
BB_01,46,48,bbox_spatial_adjacency,x,0.2,1.78,1
BB_01,46,49,bbox_spatial_adjacency,x,0.2,0.74,1
BB_01,46,50,bbox_spatial_adjacency,x,0.2,1.88,1
BB_01,46,166,bbox_spatial_adjacency,y,0.2,0.8182,1
BB_01,47,60,bbox_spatial_adjacency,x,0.2,1.65,0
BB_01,47,64,bbox_spatial_adjacency,x,0.2,2.95,0
